,FACILITY_ID,FACILITY_NAME_1,FIPS_1,COUNTY,NAICS_1,REPORTING_YEAR,UNIT_NAME_1,UNIT_TYPE,FUEL_TYPE_1,TIER,Capacity_1 (mmBtu/hr),FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr
0,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2016.0,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),55.6,0.0,gallons,0,0
1,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2016.0,GP-Boilers 3 4 5,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),55.6,0.0,gallons,0,0
2,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2011.0,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,137.90386130811657,gallons,18.61702127659574,0.002125230739337413
3,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2012.0,GP-boilers 1  2  3,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,19.70055161544523,gallons,2.659574468085106,0.0003036043913339162
4,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2017.0,GP-Boilers 3 4 5,OCS (Other combustion source),Kerosene,Tier 1 (Equation C-1),55.6,197.00551615445232,gallons,26.59574468085106,0.003036043913339162
5,1003859.0,VISKASE CORPORATION,47105.0,LOUDON COUNTY,326121.0,2015.0,GP-boilers 1  2  3,OCS (Other combustion source),Bituminous,Tier 2 (Equation C-2a),55.6,2751.0,tons,75283.866,8.594048630136985
6,1005838.0,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121.0,2018.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,0.0,gallons,0,0
7,1005838.0,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121.0,2017.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,0.0,gallons,0,0
8,1005838.0,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121.0,2015.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,225.3470344330268,gallons,31.09789075175771,0.003549987528739464
9,1005838.0,NEENAH PAPER MICHIGAN INC,26003.0,ALGER COUNTY,322121.0,2014.0,Boiler 2,OB (Boiler  other),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),225.0,88.17927434335834,gallons,12.16873985938345,0.001389125554724139
