,FACILITY_ID,FACILITY_NAME,FIPS,COUNTY,NAICS,REPORTING_YEAR,UNIT_NAME,UNIT_TYPE,FUEL_TYPE,TIER,FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr,Unit Count,Capacity (mmBtu/hr),Op Hours Per Year,Fuel Category for Unit,Temperature,NAICS_sub
0,1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,326199.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),117.8579321,gallons,16.38225256,0.00187012,1.0,34.5,,,,
1,1004914.0,3M MAGNETIC TAPE MANUFACTURING DIVISION,27085.0,MCLEOD COUNTY,322222.0,2010.0,GP-Process,OCS (Other combustion source),Distillate Fuel Oil No. 1,Tier 1 (Equation C-1),117.8579321,gallons,16.38225256,0.00187012,1.0,34.5,,,,
2,1002342.0,A&AT LLC WAYNESBORO FACILITY,51820.0,WAYNESBORO CITY,325222.0,2018.0,GP-1,OCS (Other combustion source),Natural Gas (Weighted U.S. Average),Tier 1 (Equation C-1),1829.7659,scf,1.884658877,0.000215144,1.0,99.0,,,,
3,1002342.0,A&AT LLC WAYNESBORO FACILITY,51820.0,WAYNESBORO CITY,325211.0,2018.0,GP-1,OCS (Other combustion source),Natural Gas (Weighted U.S. Average),Tier 1 (Equation C-1),1829.7659,scf,1.884658877,0.000215144,1.0,99.0,,,,
4,1002342.0,A&AT LLC WAYNESBORO FACILITY,51820.0,WAYNESBORO CITY,325220.0,2018.0,GP-1,OCS (Other combustion source),Natural Gas (Weighted U.S. Average),Tier 1 (Equation C-1),1829.7659,scf,1.884658877,0.000215144,1.0,99.0,,,,
5,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,331111.0,2016.0,GP-Boilers,OCS (Other combustion source),Coke Oven Gas,Tier 2 (Equation C-2a),2364920000.0,scf,1268803.229,144.8405513,1.0,204.0,,,,
6,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,324199.0,2016.0,GP-Boilers,OCS (Other combustion source),Coke Oven Gas,Tier 2 (Equation C-2a),2364920000.0,scf,1268803.229,144.8405513,1.0,204.0,,,,
7,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,331111.0,2016.0,GP-Boilers,OCS (Other combustion source),Natural Gas (Weighted U.S. Average),Tier 2 (Equation C-2a),77860000.0,scf,78475.094,8.958344064,1.0,204.0,,,,
8,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,324199.0,2016.0,GP-Boilers,OCS (Other combustion source),Natural Gas (Weighted U.S. Average),Tier 2 (Equation C-2a),77860000.0,scf,78475.094,8.958344064,1.0,204.0,,,,
9,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,331111.0,2016.0,GP-Combustion Stacks,OCS (Other combustion source),Coke Oven Gas,Tier 2 (Equation C-2a),3321140000.0,scf,1781824.821,203.40466,1.0,226.0,,,,
10,1004511.0,ABC COKE,1073.0,JEFFERSON COUNTY,324199.0,2016.0,GP-Combustion Stacks,OCS (Other combustion source),Coke Oven Gas,Tier 2 (Equation C-2a),3321140000.0,scf,1781824.821,203.40466,1.0,226.0,,,,
11,1002047.0,ABE South Dakota  LLC - Aberdeen,46013.0,BROWN COUNTY,325193.0,2015.0,GP-1,OCS (Other combustion source),Other Biomass Gases,Tier 1 (Equation C-1),78211.0,scf,51.228205,0.005847969,1.0,105.0,,,,
12,1002154.0,ADM - MANKATO,27013.0,BLUE EARTH COUNTY,311225.0,2016.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),19.5953943,gallons,2.704164413,0.000308695,1.0,76.0,8367.0,Gas 1,350.0,311.0
13,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2017.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Agricultural Byproducts,TIER 4,,,80937.5,9.239440639,1.0,1500.0,,,,
14,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2012.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Bituminous,TIER 4,,,3763636.364,429.6388543,1.0,1500.0,,,,
15,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2018.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Mixed (Industrial sector),TIER 4,,,6988181.818,797.7376505,1.0,1500.0,,,,
16,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2018.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Natural Gas (Weighted U.S. Average),TIER 4,,,20000,2.283105023,1.0,1500.0,,,,
17,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2018.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Solid Byproducts,TIER 4,,,40000,4.566210046,1.0,1500.0,,,,
18,1006047.0,ADM CORN PROCESSING,19113.0,LINN COUNTY,311221.0,2012.0,Boiler 5 Coal-Fired,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,6561818.182,749.0660025,1.0,1500.0,,,,
19,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Agricultural Byproducts,TIER 4,,,115625,13.19920091,1.0,1500.0,,,,
20,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2012.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Bituminous,TIER 4,,,6303636.364,719.5931922,1.0,1500.0,,,,
21,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Natural Gas (Weighted U.S. Average),TIER 4,,,10000,1.141552511,1.0,1500.0,,,,
22,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Solid Byproducts,TIER 4,,,31250,3.567351598,1.0,1500.0,,,,
23,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,5691818.182,649.750934,1.0,1500.0,,,,
24,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2017.0,EUCOG-1,CFB (Boiler  circulating fluidized bed),Tires,TIER 4,,,14062.5,1.605308219,1.0,1500.0,,,,
25,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Agricultural Byproducts,TIER 4,,,143437.5,16.37414384,1.0,1500.0,,,,
26,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2012.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Bituminous,TIER 4,,,2968181.818,338.8335409,1.0,1500.0,,,,
27,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2014.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Natural Gas (Weighted U.S. Average),TIER 4,,,10000,1.141552511,1.0,1500.0,,,,
28,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Solid Byproducts,TIER 4,,,4062.5,0.463755708,1.0,1500.0,,,,
29,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,6041818.182,689.7052719,1.0,1500.0,,,,
30,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2017.0,EUCOG-2,CFB (Boiler  circulating fluidized bed),Tires,TIER 4,,,20937.5,2.390125571,1.0,1500.0,,,,
31,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Agricultural Byproducts,TIER 4,,,170625,19.47773973,1.0,1500.0,,,,
32,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2012.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Bituminous,TIER 4,,,8171818.182,932.8559568,1.0,1500.0,,,,
33,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2017.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Natural Gas (Weighted U.S. Average),TIER 4,,,10000,1.141552511,1.0,1500.0,,,,
34,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Solid Byproducts,TIER 4,,,14687.5,1.676655251,1.0,1500.0,,,,
35,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2018.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,7826363.636,893.4205064,1.0,1500.0,,,,
36,1006208.0,ADM CORN PROCESSING,19045.0,CLINTON COUNTY,311221.0,2017.0,EUCOG-3,CFB (Boiler  circulating fluidized bed),Tires,TIER 4,,,25625,2.925228311,1.0,1500.0,,,,
37,1000034.0,ADM MILLING COMPANY,19153.0,POLK COUNTY,311222.0,2011.0,GP-02  FO,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),725.029589,gallons,100.0540833,0.011421699,1.0,175.0,,,,
38,1000034.0,ADM MILLING COMPANY,19153.0,POLK COUNTY,311224.0,2011.0,GP-02  FO,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),725.029589,gallons,100.0540833,0.011421699,1.0,175.0,,,,
39,1000034.0,ADM SOYBEAN PROCESSING - DES MOINES,19153.0,POLK COUNTY,311222.0,2016.0,GP-02  FO,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),578.0641318,gallons,79.77285019,0.00910649,1.0,175.0,,,,
40,1000034.0,ADM SOYBEAN PROCESSING - DES MOINES,19153.0,POLK COUNTY,311224.0,2016.0,GP-02  FO,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),578.0641318,gallons,79.77285019,0.00910649,1.0,175.0,,,,
41,1000034.0,ADM SOYBEAN PROCESSING - DES MOINES,19153.0,POLK COUNTY,311222.0,2018.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),666.2434061,gallons,91.94159005,0.010495615,1.0,175.0,,,,
42,1000034.0,ADM SOYBEAN PROCESSING - DES MOINES,19153.0,POLK COUNTY,311224.0,2018.0,GP-1,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),666.2434061,gallons,91.94159005,0.010495615,1.0,175.0,,,,
43,1002069.0,AG PROCESSING INC,19147.0,PALO ALTO COUNTY,311222.0,2016.0,GP-Emmetsburg Natural Gas and Fuel Oil,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),178.0,gallons,24.564,0.00280411,1.0,85.0,,,,
44,1002069.0,AG PROCESSING INC,19147.0,PALO ALTO COUNTY,311224.0,2016.0,GP-Emmetsburg Natural Gas and Fuel Oil,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),178.0,gallons,24.564,0.00280411,1.0,85.0,,,,
45,1002408.0,AG PROCESSING INC-SHELDON,19141.0,OBRIEN,311222.0,2016.0,GP-Sheldon Natural Gas and Fuel Oil,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),425.0,gallons,58.65,0.006695205,1.0,77.5,,,,
46,1002408.0,AG PROCESSING INC-SHELDON,19141.0,OBRIEN,311224.0,2016.0,GP-Sheldon Natural Gas and Fuel Oil,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),425.0,gallons,58.65,0.006695205,1.0,77.5,,,,
47,1002291.0,AG PROCESSING INCORPORATED A COOPERATIVE,27073.0,LAC QUI PARLE,311224.0,2016.0,GP-Dawson Facility Natural Gas and #6,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),560.0,gallons,77.28,0.008821918,1.0,196.3,,,,
48,1002291.0,AG PROCESSING INCORPORATED A COOPERATIVE,27073.0,LAC QUI PARLE COUNTY,311222.0,2016.0,GP-Dawson Facility Natural Gas and #6,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),560.0,gallons,77.28,0.008821918,1.0,196.3,,,,
49,1002291.0,AG PROCESSING INCORPORATED A COOPERATIVE,27073.0,LAC QUI PARLE,311224.0,2016.0,GP-Dawson Facility Natural Gas and #6,OCS (Other combustion source),Residual Fuel Oil No. 6,Tier 1 (Equation C-1),875.0,gallons,131.25,0.014982877,1.0,196.3,,,,
50,1002291.0,AG PROCESSING INCORPORATED A COOPERATIVE,27073.0,LAC QUI PARLE COUNTY,311222.0,2016.0,GP-Dawson Facility Natural Gas and #6,OCS (Other combustion source),Residual Fuel Oil No. 6,Tier 1 (Equation C-1),875.0,gallons,131.25,0.014982877,1.0,196.3,,,,
51,1002067.0,AGP SOY/CORN PROCESSING,31001.0,ADAMS COUNTY,311224.0,2018.0,CFB Coal Boiler,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,2153636.364,245.8489,1.0,382.0,,,,
52,1002067.0,AGP SOY/CORN PROCESSING,31001.0,ADAMS COUNTY,311222.0,2018.0,CFB Coal Boiler,CFB (Boiler  circulating fluidized bed),Subbituminous,TIER 4,,,2153636.364,245.8489,1.0,382.0,,,,
53,1002067.0,AGP SOY/CORN PROCESSING,31001.0,ADAMS COUNTY,311224.0,2018.0,GP-Hastings Facility Natural Gas Use,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),143.2,gallons,19.7616,0.00225589,1.0,200.0,,,,
54,1002067.0,AGP SOY/CORN PROCESSING,31001.0,ADAMS COUNTY,311222.0,2018.0,GP-Hastings Facility Natural Gas Use,OCS (Other combustion source),Distillate Fuel Oil No. 2,Tier 1 (Equation C-1),143.2,gallons,19.7616,0.00225589,1.0,200.0,,,,
55,1002380.0,AGRIUM US BORGER NITROGEN OPERATIONS,48233.0,HUTCHINSON COUNTY,325311.0,2016.0,PKGB1,OB (Boiler  other),Natural Gas (Weighted U.S. Average),Tier 2 (Equation C-2a),630898000.0,scf,658928.7981,75.22018244,1.0,240.0,,,,
